Date,nombreAgrupacionPolitica1,totalVotosValidos1,porcentajeVotosValidos1,porcentajeVotosEmitidos1,nombreAgrupacionPolitica2,totalVotosValidos2,porcentajeVotosValidos2,porcentajeVotosEmitidos2
2026-06-08 23:38:50,FUERZA POPULAR,8850639,49.888,46.621,JUNTOS POR EL PERÚ,8890284,50.112,46.83
2026-06-08 23:46:38,FUERZA POPULAR,8851075,49.889,46.621,JUNTOS POR EL PERÚ,8890593,50.111,46.829
2026-06-08 23:47:54,FUERZA POPULAR,8851075,49.889,46.621,JUNTOS POR EL PERÚ,8890593,50.111,46.829
2026-06-09 00:50:01,FUERZA POPULAR,8851632,49.888,46.62,JUNTOS POR EL PERÚ,8891466,50.112,46.83
2026-06-09 01:16:14,FUERZA POPULAR,8853242,49.891,46.623,JUNTOS POR EL PERÚ,8891957,50.109,46.827
2026-06-09 03:42:53,FUERZA POPULAR,8870175,49.918,46.649,JUNTOS POR EL PERÚ,8899427,50.082,46.803
2026-06-09 09:22:08,FUERZA POPULAR,8884515,49.935,46.666,JUNTOS POR EL PERÚ,8907797,50.065,46.788
2026-06-09 10:36:00,FUERZA POPULAR,8890610,49.944,46.676,JUNTOS POR EL PERÚ,8910381,50.056,46.78
2026-06-09 11:26:11,FUERZA POPULAR,8891052,49.943,46.674,JUNTOS POR EL PERÚ,8911478,50.057,46.782
2026-06-09 12:56:04,FUERZA POPULAR,8891320,49.943,46.675,JUNTOS POR EL PERÚ,8911541,50.057,46.781
2026-06-09 13:30:48,FUERZA POPULAR,8891320,49.943,46.675,JUNTOS POR EL PERÚ,8911541,50.057,46.781
2026-06-09 16:03:21,FUERZA POPULAR,8895933,49.934,46.667,JUNTOS POR EL PERÚ,8919422,50.066,46.79
2026-06-09 16:27:41,FUERZA POPULAR,8898397,49.914,46.649,JUNTOS POR EL PERÚ,8929222,50.086,46.81
2026-06-09 17:04:51,FUERZA POPULAR,8901653,49.882,46.62,JUNTOS POR EL PERÚ,8943863,50.118,46.841
2026-06-09 18:57:44,FUERZA POPULAR,8905444,49.881,46.619,JUNTOS POR EL PERÚ,8948105,50.119,46.842
2026-06-09 20:18:29,FUERZA POPULAR,8908141,49.884,46.623,JUNTOS POR EL PERÚ,8949555,50.116,46.839
2026-06-09 21:25:58,FUERZA POPULAR,8912806,49.886,46.625,JUNTOS POR EL PERÚ,8953553,50.114,46.838
2026-06-10 00:40:53,FUERZA POPULAR,8944356,49.913,46.648,JUNTOS POR EL PERÚ,8975703,50.087,46.811
2026-06-10 07:08:51,FUERZA POPULAR,8953430,49.925,46.66,JUNTOS POR EL PERÚ,8980277,50.075,46.8
2026-06-10 20:31:38,FUERZA POPULAR,9014171,49.981,46.716,JUNTOS POR EL PERÚ,9020928,50.019,46.751
2026-06-10 22:17:26,FUERZA POPULAR,9014101,49.981,46.717,JUNTOS POR EL PERÚ,9020803,50.019,46.751
2026-06-11 06:06:10,JUNTOS POR EL PERÚ,9032000,49.998,46.731,FUERZA POPULAR,9032651,50.002,46.734
2026-06-11 12:23:14,JUNTOS POR EL PERÚ,9032662,49.997,46.73,FUERZA POPULAR,9033584,50.003,46.735
2026-06-11 14:54:16,JUNTOS POR EL PERÚ,9033312,49.998,46.73,FUERZA POPULAR,9034071,50.002,46.734
2026-06-11 16:47:30,JUNTOS POR EL PERÚ,9033489,49.998,46.731,FUERZA POPULAR,9034073,50.002,46.734
2026-06-12 00:43:05,JUNTOS POR EL PERÚ,9034743,49.996,46.729,FUERZA POPULAR,9036046,50.004,46.736
2026-06-12 02:50:31,JUNTOS POR EL PERÚ,9034743,49.996,46.729,FUERZA POPULAR,9036046,50.004,46.736
2026-06-12 17:05:01,JUNTOS POR EL PERÚ,9037285,49.99,46.723,FUERZA POPULAR,9040726,50.01,46.741
2026-06-13 00:03:48,JUNTOS POR EL PERÚ,9039415,49.988,46.721,FUERZA POPULAR,9043934,50.012,46.744
2026-06-13 04:38:59,JUNTOS POR EL PERÚ,9039415,49.988,46.721,FUERZA POPULAR,9043934,50.012,46.744
2026-06-13 08:39:28,JUNTOS POR EL PERÚ,9039415,49.988,46.721,FUERZA POPULAR,9043934,50.012,46.744
2026-06-13 09:49:38,JUNTOS POR EL PERÚ,9039505,49.987,46.721,FUERZA POPULAR,9044038,50.013,46.744
2026-06-13 11:37:55,JUNTOS POR EL PERÚ,9040111,49.988,46.721,FUERZA POPULAR,9044422,50.012,46.744
2026-06-13 12:35:31,JUNTOS POR EL PERÚ,9041376,49.982,46.716,FUERZA POPULAR,9047800,50.018,46.749
2026-06-13 13:38:17,JUNTOS POR EL PERÚ,9042799,49.978,46.712,FUERZA POPULAR,9050661,50.022,46.753
2026-06-13 21:24:24,JUNTOS POR EL PERÚ,9053801,49.949,46.685,FUERZA POPULAR,9072289,50.051,46.781
2026-06-13 22:49:27,JUNTOS POR EL PERÚ,9053801,49.949,46.685,FUERZA POPULAR,9072289,50.051,46.781
2026-06-14 02:47:07,JUNTOS POR EL PERÚ,9053801,49.949,46.685,FUERZA POPULAR,9072289,50.051,46.781
2026-06-14 08:38:50,JUNTOS POR EL PERÚ,9053801,49.949,46.685,FUERZA POPULAR,9072289,50.051,46.781
2026-06-14 17:32:03,JUNTOS POR EL PERÚ,9056638,49.949,46.685,FUERZA POPULAR,9075116,50.051,46.781
2026-06-14 18:33:35,JUNTOS POR EL PERÚ,9056638,49.949,46.685,FUERZA POPULAR,9075116,50.051,46.781
2026-06-14 22:49:39,JUNTOS POR EL PERÚ,9056638,49.949,46.685,FUERZA POPULAR,9075116,50.051,46.781
2026-06-15 12:44:08,JUNTOS POR EL PERÚ,9058932,49.948,46.684,FUERZA POPULAR,9077911,50.052,46.782
2026-06-15 16:56:16,JUNTOS POR EL PERÚ,9074601,49.932,46.669,FUERZA POPULAR,9099420,50.068,46.796
2026-06-15 17:48:36,JUNTOS POR EL PERÚ,9077621,49.929,46.666,FUERZA POPULAR,9103360,50.071,46.799
2026-06-15 18:39:42,JUNTOS POR EL PERÚ,9082037,49.921,46.658,FUERZA POPULAR,9110832,50.079,46.806
2026-06-15 20:19:51,JUNTOS POR EL PERÚ,9085563,49.922,46.659,FUERZA POPULAR,9113983,50.078,46.805
2026-06-16 07:17:51,JUNTOS POR EL PERÚ,9090392,49.91,46.648,FUERZA POPULAR,9123301,50.09,46.817
2026-06-17 02:18:15,JUNTOS POR EL PERÚ,9100083,49.9,46.639,FUERZA POPULAR,9136432,50.1,46.826
2026-06-17 04:12:46,JUNTOS POR EL PERÚ,9100083,49.9,46.639,FUERZA POPULAR,9136432,50.1,46.826
2026-06-17 06:15:13,JUNTOS POR EL PERÚ,9100083,49.9,46.639,FUERZA POPULAR,9136432,50.1,46.826
2026-06-17 09:16:20,JUNTOS POR EL PERÚ,9100487,49.899,46.638,FUERZA POPULAR,9137164,50.101,46.826
2026-06-17 10:49:12,JUNTOS POR EL PERÚ,9101191,49.898,46.637,FUERZA POPULAR,9138376,50.102,46.828
2026-06-17 13:19:11,JUNTOS POR EL PERÚ,9103545,49.899,46.638,FUERZA POPULAR,9140385,50.101,46.827
2026-06-17 14:20:33,JUNTOS POR EL PERÚ,9104402,49.901,46.64,FUERZA POPULAR,9140468,50.099,46.825
2026-06-17 15:18:55,JUNTOS POR EL PERÚ,9104541,49.901,46.639,FUERZA POPULAR,9140782,50.099,46.825
2026-06-17 20:33:33,JUNTOS POR EL PERÚ,9118516,49.893,46.633,FUERZA POPULAR,9157631,50.107,46.833
2026-06-17 22:18:30,JUNTOS POR EL PERÚ,9118516,49.893,46.633,FUERZA POPULAR,9157631,50.107,46.833
2026-06-18 00:09:00,JUNTOS POR EL PERÚ,9118516,49.893,46.633,FUERZA POPULAR,9157631,50.107,46.833
2026-06-18 04:04:15,JUNTOS POR EL PERÚ,9118516,49.893,46.633,FUERZA POPULAR,9157631,50.107,46.833
2026-06-18 12:11:45,JUNTOS POR EL PERÚ,9118881,49.893,46.633,FUERZA POPULAR,9157905,50.107,46.832
2026-06-18 13:21:03,JUNTOS POR EL PERÚ,9119096,49.892,46.631,FUERZA POPULAR,9158662,50.108,46.834
2026-06-18 14:20:52,JUNTOS POR EL PERÚ,9119388,49.891,46.631,FUERZA POPULAR,9159226,50.109,46.834
2026-06-18 22:20:22,JUNTOS POR EL PERÚ,9123326,49.885,46.625,FUERZA POPULAR,9165357,50.115,46.84
2026-06-19 00:17:09,JUNTOS POR EL PERÚ,9128298,49.88,46.62,FUERZA POPULAR,9172377,50.12,46.845
2026-06-19 07:48:43,JUNTOS POR EL PERÚ,9128408,49.88,46.62,FUERZA POPULAR,9172509,50.12,46.845
2026-06-19 17:25:48,JUNTOS POR EL PERÚ,9136387,49.882,46.623,FUERZA POPULAR,9179664,50.118,46.843
2026-06-19 17:50:53,JUNTOS POR EL PERÚ,9136387,49.882,46.623,FUERZA POPULAR,9179664,50.118,46.843
2026-06-20 00:37:44,JUNTOS POR EL PERÚ,9141715,49.887,46.627,FUERZA POPULAR,9183280,50.113,46.839
2026-06-20 02:31:14,JUNTOS POR EL PERÚ,9141715,49.887,46.627,FUERZA POPULAR,9183280,50.113,46.839
2026-06-20 04:12:00,JUNTOS POR EL PERÚ,9141715,49.887,46.627,FUERZA POPULAR,9183280,50.113,46.839
